
====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - caltech-101
====================================================================================================
+----------+------------+------------+------------+------------+------------+------------+---------+
| Label    | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
| Label 53 |     0.2727 |     0.3409 |     0.2955 |     0.3409 |     0.3409 |     0.3409 |  0.3220 |
| Label 54 |     0.4186 |     0.4186 |     0.3953 |     0.3953 |     0.3953 |     0.3953 |  0.4031 |
| Label 55 |     0.6000 |     0.4750 |     0.5250 |     0.4750 |     0.4750 |     0.6500 |  0.5333 |
| Label 56 |     0.3684 |     0.3684 |     0.3684 |     0.3684 |     0.3684 |     0.3684 |  0.3684 |
| Label 57 |     0.3947 |     0.3947 |     0.3684 |     0.3684 |     0.3684 |     0.3684 |  0.3772 |
| Label 58 |     0.7308 |     0.6923 |     0.6538 |     0.6538 |     0.6538 |     0.7308 |  0.6859 |
| Label 59 |     0.7436 |     0.7436 |     0.7436 |     0.6667 |     0.7436 |     0.7436 |  0.7308 |
| Label 60 |     0.3929 |     0.3929 |     0.3571 |     0.4286 |     0.3571 |     0.5000 |  0.4048 |
| Label 61 |     0.3462 |     0.2692 |     0.3462 |     0.3462 |     0.3462 |     0.3462 |  0.3333 |
| Label 62 |     0.3023 |     0.3023 |     0.3023 |     0.3023 |     0.3023 |     0.2791 |  0.2984 |
| Label 63 |     0.3333 |     0.7619 |     0.7619 |     0.7619 |     0.8095 |     0.8095 |  0.7063 |
| Label 64 |     0.5000 |     0.5250 |     0.5250 |     0.5000 |     0.5000 |     0.5000 |  0.5083 |
| Label 65 |     0.7879 |     0.6667 |     0.6667 |     0.6667 |     0.6364 |     0.6061 |  0.6717 |
| Label 66 |     0.7826 |     0.6957 |     0.6957 |     0.7391 |     0.7826 |     0.7391 |  0.7391 |
| Label 67 |     0.7692 |     0.7692 |     0.7692 |     0.7692 |     0.7692 |     0.7692 |  0.7692 |
| Label 68 |     0.7742 |     0.7742 |     0.7742 |     0.7742 |     0.7742 |     0.7419 |  0.7688 |
| Label 69 |     0.7600 |     0.7600 |     0.7600 |     0.7600 |     0.7600 |     0.7600 |  0.7600 |
| Label 70 |     0.7586 |     0.7586 |     0.7586 |     0.7586 |     0.7931 |     0.7586 |  0.7644 |
| Label 71 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |  0.7647 |
| Label 72 |     0.5455 |     0.5455 |     0.5455 |     0.5909 |     0.5909 |     0.5909 |  0.5682 |
| Label 73 |     0.7429 |     0.7429 |     0.8000 |     0.7429 |     0.7429 |     0.7143 |  0.7476 |
| Label 74 |     0.3514 |     0.4054 |     0.4054 |     0.3784 |     0.3784 |     0.4054 |  0.3874 |
| Label 75 |     0.7895 |     0.7895 |     0.7895 |     0.7895 |     0.7895 |     0.7895 |  0.7895 |
| Label 76 |     0.7812 |     0.7812 |     0.7812 |     0.7812 |     0.7812 |     0.7500 |  0.7760 |
| Label 77 |     0.6154 |     0.5769 |     0.5769 |     0.3846 |     0.5000 |     0.6538 |  0.5513 |
| Label 78 |     0.7429 |     0.7429 |     0.7429 |     0.7429 |     0.7429 |     0.7429 |  0.7429 |
| Label 79 |     0.8077 |     0.8077 |     0.8077 |     0.8077 |     0.8077 |     0.7692 |  0.8013 |
| Label 80 |     0.6731 |     0.7308 |     0.7500 |     0.7500 |     0.7885 |     0.7308 |  0.7372 |
| Label 81 |     0.4857 |     0.5143 |     0.5714 |     0.5143 |     0.5143 |     0.5429 |  0.5238 |
| Label 82 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |  0.7826 |
| Label 83 |     0.3514 |     0.2973 |     0.3784 |     0.7297 |     0.2973 |     0.3784 |  0.4054 |
| Label 84 |     0.8621 |     0.7586 |     0.7931 |     0.7586 |     0.7586 |     0.8276 |  0.7931 |
| Label 85 |     0.3333 |     0.3333 |     0.3333 |     0.3333 |     0.3333 |     0.3333 |  0.3333 |
| Label 86 |     0.3235 |     0.3235 |     0.3529 |     0.3824 |     0.3235 |     0.4706 |  0.3627 |
| Label 87 |     0.7568 |     0.2703 |     0.2162 |     0.7568 |     0.7297 |     0.2703 |  0.5000 |
| Label 88 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |     0.7826 |  0.7826 |
| Label 89 |     0.3846 |     0.3590 |     0.3590 |     0.3590 |     0.3590 |     0.3077 |  0.3547 |
| Label 90 |     0.7812 |     0.7812 |     0.7812 |     0.7812 |     0.8125 |     0.5000 |  0.7396 |
| Label 91 |     0.3953 |     0.4186 |     0.3721 |     0.4186 |     0.3721 |     0.3721 |  0.3915 |
| Label 92 |     0.7949 |     0.7692 |     0.7949 |     0.7692 |     0.7692 |     0.7949 |  0.7821 |
| Label 93 |     0.6230 |     0.6066 |     0.6721 |     0.6066 |     0.5902 |     0.6885 |  0.6311 |
| Label 94 |     0.6667 |     0.5417 |     0.5833 |     0.6667 |     0.6250 |     0.7083 |  0.6319 |
| Label 95 |     0.8158 |     0.8158 |     0.8158 |     0.8158 |     0.8158 |     0.8158 |  0.8158 |
| Label 96 |     0.5909 |     0.6818 |     0.6364 |     0.6818 |     0.7273 |     0.5909 |  0.6515 |
| Label 97 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |     0.7647 |  0.7647 |
| Label 98 |     0.8077 |     0.6923 |     0.7308 |     0.7692 |     0.8077 |     0.6154 |  0.7372 |
| Label 99 |     0.7429 |     0.7429 |     0.7429 |     0.7714 |     0.6000 |     0.3714 |  0.6619 |
| Average  |     0.6131 |     0.6017 |     0.6054 |     0.6147 |     0.6124 |     0.6065 |  0.6090 |
+----------+------------+------------+------------+------------+------------+------------+---------+
====================================================================================================

💾 表格已保存到: /home/liuxin25/code/sepfpl/outputs/exp4-mia/caltech-101/mia_results_per_label.txt

====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - stanford_dogs
====================================================================================================
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label     | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label 0   |     0.6667 |     0.5833 |     0.6250 |     0.5000 |     0.5833 |     0.6667 |  0.6042 |
| Label 1   |     0.4286 |     0.3929 |     0.3929 |     0.3929 |     0.3571 |     0.4643 |  0.4048 |
| Label 2   |     0.4194 |     0.5161 |     0.5161 |     0.5484 |     0.5161 |     0.5484 |  0.5108 |
| Label 3   |     0.6250 |     0.7083 |     0.5833 |     0.6250 |     0.5833 |     0.6667 |  0.6319 |
| Label 4   |     0.5172 |     0.5172 |     0.5172 |     0.4828 |     0.4828 |     0.4828 |  0.5000 |
| Label 5   |     0.6000 |     0.6333 |     0.7000 |     0.6667 |     0.7000 |     0.6000 |  0.6500 |
| Label 6   |     0.5172 |     0.4828 |     0.5517 |     0.5862 |     0.5862 |     0.5172 |  0.5402 |
| Label 7   |     0.5556 |     0.6296 |     0.5556 |     0.5926 |     0.5926 |     0.7037 |  0.6049 |
| Label 8   |     0.7692 |     0.6538 |     0.7308 |     0.6923 |     0.6923 |     0.7308 |  0.7115 |
| Label 9   |     0.5161 |     0.5484 |     0.5161 |     0.5161 |     0.5161 |     0.5806 |  0.5323 |
| Label 10  |     0.5556 |     0.5185 |     0.5556 |     0.5185 |     0.4815 |     0.5185 |  0.5247 |
| Label 11  |     0.6897 |     0.6207 |     0.6207 |     0.5862 |     0.6207 |     0.6207 |  0.6264 |
| Label 12  |     0.6429 |     0.6429 |     0.6786 |     0.6429 |     0.6071 |     0.6429 |  0.6429 |
| Label 13  |     0.8148 |     0.7407 |     0.8148 |     0.8889 |     0.7037 |     0.7407 |  0.7840 |
| Label 14  |     0.5200 |     0.4800 |     0.5200 |     0.4800 |     0.5200 |     0.6000 |  0.5200 |
| Label 15  |     0.4167 |     0.4583 |     0.4583 |     0.4583 |     0.5000 |     0.4583 |  0.4583 |
| Label 16  |     0.5769 |     0.4231 |     0.4615 |     0.4615 |     0.4615 |     0.5769 |  0.4936 |
| Label 17  |     0.7917 |     0.7917 |     0.7083 |     0.7083 |     0.7917 |     0.8333 |  0.7708 |
| Label 18  |     0.5833 |     0.7083 |     0.6250 |     0.6250 |     0.5833 |     0.5833 |  0.6181 |
| Label 19  |     0.4828 |     0.5172 |     0.5172 |     0.5172 |     0.5517 |     0.5172 |  0.5172 |
| Label 20  |     0.5000 |     0.3214 |     0.4286 |     0.3571 |     0.3929 |     0.3571 |  0.3929 |
| Label 21  |     0.5714 |     0.5714 |     0.6071 |     0.5357 |     0.5714 |     0.5357 |  0.5655 |
| Label 22  |     0.6552 |     0.5862 |     0.5862 |     0.6207 |     0.5862 |     0.5517 |  0.5977 |
| Label 23  |     0.5517 |     0.4138 |     0.3448 |     0.3793 |     0.4138 |     0.4138 |  0.4195 |
| Label 24  |     0.7083 |     0.7500 |     0.6667 |     0.6667 |     0.6667 |     0.7083 |  0.6944 |
| Label 25  |     0.5357 |     0.6071 |     0.6429 |     0.6071 |     0.6429 |     0.6071 |  0.6071 |
| Label 26  |     0.6667 |     0.6000 |     0.6000 |     0.6333 |     0.6000 |     0.6000 |  0.6167 |
| Label 27  |     0.6538 |     0.5769 |     0.5385 |     0.4231 |     0.4615 |     0.5000 |  0.5256 |
| Label 28  |     0.5200 |     0.5600 |     0.4400 |     0.4400 |     0.4800 |     0.4800 |  0.4867 |
| Label 29  |     0.5000 |     0.5769 |     0.5769 |     0.5769 |     0.5769 |     0.6538 |  0.5769 |
| Label 30  |     0.6071 |     0.6071 |     0.5714 |     0.6071 |     0.6429 |     0.6786 |  0.6190 |
| Label 31  |     0.5185 |     0.4815 |     0.4444 |     0.4074 |     0.4074 |     0.4074 |  0.4444 |
| Label 32  |     0.3793 |     0.5172 |     0.5172 |     0.5172 |     0.5517 |     0.5172 |  0.5000 |
| Label 33  |     0.7037 |     0.4444 |     0.5185 |     0.4815 |     0.5185 |     0.6296 |  0.5494 |
| Label 34  |     0.6538 |     0.6538 |     0.6923 |     0.6154 |     0.5769 |     0.6154 |  0.6346 |
| Label 35  |     0.4828 |     0.4828 |     0.3793 |     0.3103 |     0.3793 |     0.5862 |  0.4368 |
| Label 36  |     0.6154 |     0.6154 |     0.6923 |     0.6923 |     0.7308 |     0.5385 |  0.6474 |
| Label 37  |     0.6538 |     0.7308 |     0.7308 |     0.6538 |     0.7308 |     0.6538 |  0.6923 |
| Label 38  |     0.6333 |     0.7667 |     0.7333 |     0.7000 |     0.8333 |     0.7000 |  0.7278 |
| Label 39  |     0.8571 |     0.7857 |     0.6786 |     0.7143 |     0.8571 |     0.7143 |  0.7679 |
| Label 40  |     0.5172 |     0.5862 |     0.5862 |     0.5517 |     0.5172 |     0.5517 |  0.5517 |
| Label 41  |     0.6429 |     0.6071 |     0.6071 |     0.6071 |     0.6429 |     0.5357 |  0.6071 |
| Label 42  |     0.5862 |     0.5517 |     0.6552 |     0.6552 |     0.6552 |     0.6552 |  0.6264 |
| Label 43  |     0.6429 |     0.6071 |     0.7143 |     0.7857 |     0.6429 |     0.5000 |  0.6488 |
| Label 44  |     0.5714 |     0.5714 |     0.5000 |     0.5357 |     0.5357 |     0.5357 |  0.5417 |
| Label 45  |     0.7083 |     0.7500 |     0.7500 |     0.7500 |     0.7500 |     0.7083 |  0.7361 |
| Label 46  |     0.5000 |     0.6538 |     0.5769 |     0.5385 |     0.4231 |     0.6923 |  0.5641 |
| Label 47  |     0.4400 |     0.6000 |     0.5200 |     0.5600 |     0.5600 |     0.7200 |  0.5667 |
| Label 48  |     0.7200 |     0.6800 |     0.7200 |     0.6800 |     0.6800 |     0.6000 |  0.6800 |
| Label 49  |     0.6552 |     0.7586 |     0.7586 |     0.7586 |     0.7586 |     0.6897 |  0.7299 |
| Label 50  |     0.5556 |     0.5926 |     0.5926 |     0.5556 |     0.5185 |     0.5185 |  0.5556 |
| Label 51  |     0.6800 |     0.6800 |     0.7200 |     0.8000 |     0.6800 |     0.8800 |  0.7400 |
| Label 52  |     0.5556 |     0.5556 |     0.5926 |     0.5556 |     0.6296 |     0.5926 |  0.5802 |
| Label 53  |     0.9259 |     0.7037 |     0.7037 |     0.6667 |     0.6296 |     0.5926 |  0.7037 |
| Label 54  |     0.5000 |     0.5417 |     0.4583 |     0.5417 |     0.5000 |     0.5833 |  0.5208 |
| Label 55  |     0.6667 |     0.6667 |     0.6250 |     0.5833 |     0.7500 |     0.5417 |  0.6389 |
| Label 56  |     0.5000 |     0.5833 |     0.5833 |     0.6250 |     0.6250 |     0.5417 |  0.5764 |
| Label 57  |     0.6154 |     0.5769 |     0.6154 |     0.5385 |     0.5769 |     0.4615 |  0.5641 |
| Label 58  |     0.6667 |     0.5926 |     0.5556 |     0.4444 |     0.4074 |     0.4444 |  0.5185 |
| Label 59  |     0.4583 |     0.4167 |     0.4167 |     0.4167 |     0.4167 |     0.5417 |  0.4444 |
| Label 60  |     0.4167 |     0.4167 |     0.3750 |     0.5833 |     0.3750 |     0.5417 |  0.4514 |
| Label 61  |     0.6538 |     0.5769 |     0.5769 |     0.6154 |     0.5769 |     0.6154 |  0.6026 |
| Label 62  |     0.6000 |     0.6400 |     0.6000 |     0.6800 |     0.6000 |     0.6000 |  0.6200 |
| Label 63  |     0.5417 |     0.5833 |     0.5000 |     0.5000 |     0.4583 |     0.4583 |  0.5069 |
| Label 64  |     0.6667 |     0.6250 |     0.6250 |     0.5833 |     0.6250 |     0.5833 |  0.6181 |
| Label 65  |     0.6250 |     0.6667 |     0.6667 |     0.6667 |     0.6250 |     0.7500 |  0.6667 |
| Label 66  |     0.6400 |     0.6800 |     0.6800 |     0.6400 |     0.6800 |     0.6000 |  0.6533 |
| Label 67  |     0.5417 |     0.6250 |     0.6250 |     0.6250 |     0.5417 |     0.6250 |  0.5972 |
| Label 68  |     0.6800 |     0.6400 |     0.6400 |     0.6400 |     0.6400 |     0.6800 |  0.6533 |
| Label 69  |     0.6667 |     0.6250 |     0.7083 |     0.6667 |     0.5417 |     0.7917 |  0.6667 |
| Label 70  |     0.7917 |     0.7917 |     0.7917 |     0.7917 |     0.7917 |     0.8333 |  0.7986 |
| Label 71  |     0.7917 |     0.7917 |     0.6667 |     0.6667 |     0.7917 |     0.7500 |  0.7431 |
| Label 72  |     0.5000 |     0.5833 |     0.5833 |     0.5833 |     0.5417 |     0.5833 |  0.5625 |
| Label 73  |     0.4583 |     0.5000 |     0.5000 |     0.5000 |     0.5417 |     0.6667 |  0.5278 |
| Label 74  |     0.6667 |     0.6250 |     0.5833 |     0.5833 |     0.5417 |     0.5833 |  0.5972 |
| Label 75  |     0.5417 |     0.6667 |     0.6250 |     0.6667 |     0.5833 |     0.6250 |  0.6181 |
| Label 76  |     0.7500 |     0.8750 |     0.7500 |     0.7917 |     0.7500 |     0.7083 |  0.7708 |
| Label 77  |     0.8333 |     0.7917 |     0.8333 |     0.7917 |     0.8750 |     0.7917 |  0.8194 |
| Label 78  |     0.6154 |     0.5385 |     0.5000 |     0.5769 |     0.5769 |     0.5769 |  0.5641 |
| Label 79  |     0.5385 |     0.5769 |     0.5385 |     0.5769 |     0.5769 |     0.6154 |  0.5705 |
| Label 80  |     0.7500 |     0.7083 |     0.7083 |     0.7083 |     0.7500 |     0.7917 |  0.7361 |
