
====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - caltech-101
====================================================================================================
+----------+------------+------------+------------+------------+------------+------------+---------+
| Label    | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
| Label 6   |     0.7500 |     0.5625 |     0.5000 |     0.6250 |     0.6250 |     0.5625 |  0.6042 |
| Label 7   |     0.5758 |     0.5152 |     0.4545 |     0.5758 |     0.5758 |     0.5455 |  0.5404 |
| Label 8   |     0.6316 |     0.5789 |     0.5789 |     0.7368 |     0.6316 |     0.6316 |  0.6316 |
| Label 9   |     0.5556 |     0.4444 |     0.4444 |     0.5000 |     0.5000 |     0.5000 |  0.4907 |
| Label 10  |     0.6333 |     0.7000 |     0.6000 |     0.7000 |     0.7000 |     0.6667 |  0.6667 |
| Label 11  |     0.6286 |     0.4571 |     0.4857 |     0.5143 |     0.5143 |     0.5714 |  0.5286 |
| Label 12  |     0.6500 |     0.6000 |     0.6000 |     0.5000 |     0.5500 |     0.6000 |  0.5833 |
| Label 13  |     0.6842 |     0.7368 |     0.6842 |     0.6842 |     0.6316 |     0.6316 |  0.6754 |
| Label 14  |     0.6500 |     0.4000 |     0.6000 |     0.4500 |     0.5000 |     0.4500 |  0.5083 |
| Label 15  |     0.7500 |     0.6250 |     0.6250 |     0.6250 |     0.6875 |     0.6250 |  0.6562 |
| Label 16  |     0.5484 |     0.6129 |     0.5484 |     0.5806 |     0.5806 |     0.6774 |  0.5914 |
| Label 17  |     0.8438 |     0.6250 |     0.8125 |     0.6562 |     0.6875 |     0.7500 |  0.7292 |
| Label 18  |     0.8000 |     0.7000 |     0.7000 |     0.7500 |     0.8000 |     0.7000 |  0.7417 |
| Label 19  |     0.7273 |     0.7727 |     0.8182 |     0.7727 |     0.8636 |     0.8182 |  0.7955 |
| Label 20  |     0.6875 |     0.6875 |     0.7500 |     0.6875 |     0.6250 |     0.6250 |  0.6771 |
| Label 21  |     0.7391 |     0.8261 |     0.8696 |     0.8696 |     0.7826 |     0.7826 |  0.8116 |
| Label 22  |     0.5556 |     0.5278 |     0.5000 |     0.5000 |     0.5556 |     0.5000 |  0.5231 |
| Label 23  |     0.4375 |     0.6250 |     0.6250 |     0.5625 |     0.5625 |     0.5625 |  0.5625 |
| Label 24  |     0.6250 |     0.6875 |     0.6875 |     0.6875 |     0.6250 |     0.7500 |  0.6771 |
| Label 25  |     0.8125 |     0.5625 |     0.6250 |     0.5625 |     0.5625 |     0.8125 |  0.6562 |
| Label 26  |     0.7500 |     0.8125 |     0.6250 |     0.6875 |     0.6250 |     0.6250 |  0.6875 |
| Label 27  |     0.7308 |     0.8077 |     0.8077 |     0.6154 |     0.7308 |     0.5000 |  0.6987 |
| Label 28  |     0.5517 |     0.6207 |     0.6897 |     0.5862 |     0.5517 |     0.6552 |  0.6092 |
| Label 29  |     0.7647 |     0.8529 |     0.7647 |     0.8235 |     0.8529 |     0.7941 |  0.8088 |
| Label 30  |     0.7143 |     0.8095 |     0.8095 |     0.8095 |     0.8571 |     0.8095 |  0.8016 |
| Label 31  |     0.9444 |     0.7778 |     0.7222 |     0.6667 |     0.7778 |     0.7222 |  0.7685 |
| Label 32  |     0.6842 |     0.6316 |     0.6842 |     0.6842 |     0.6842 |     0.6316 |  0.6667 |
| Label 33  |     0.8125 |     0.9375 |     0.8125 |     1.0000 |     0.9375 |     0.9375 |  0.9062 |
| Label 34  |     0.7647 |     0.6471 |     0.7059 |     0.6471 |     0.7059 |     0.5882 |  0.6765 |
| Label 35  |     0.6667 |     0.6296 |     0.5926 |     0.6296 |     0.4815 |     0.3704 |  0.5617 |
| Label 36  |     0.5938 |     0.7188 |     0.7188 |     0.6250 |     0.7500 |     0.6250 |  0.6719 |
| Label 37  |     0.8636 |     0.6364 |     0.6364 |     0.6818 |     0.8636 |     0.7727 |  0.7424 |
| Label 38  |     0.9375 |     0.9375 |     0.9375 |     1.0000 |     0.8750 |     0.8125 |  0.9167 |
| Label 39  |     0.5556 |     0.5185 |     0.4815 |     0.4815 |     0.5926 |     0.6667 |  0.5494 |
| Label 40  |     0.6250 |     0.5938 |     0.6250 |     0.5938 |     0.5625 |     0.5938 |  0.5990 |
| Label 41  |     0.6522 |     0.6087 |     0.8261 |     0.7826 |     0.7391 |     0.6957 |  0.7174 |
| Label 42  |     0.7222 |     0.7222 |     0.7500 |     0.7500 |     0.7222 |     0.7778 |  0.7407 |
| Label 43  |     0.4286 |     0.5000 |     0.5000 |     0.4286 |     0.4286 |     0.4643 |  0.4583 |
| Label 44  |     0.8125 |     0.9375 |     0.9375 |     0.8125 |     0.9375 |     0.6875 |  0.8542 |
| Label 45  |     0.7500 |     0.7708 |     0.7292 |     0.7292 |     0.7292 |     0.7500 |  0.7431 |
| Label 46  |     0.6667 |     0.5926 |     0.5926 |     0.5556 |     0.5926 |     0.6296 |  0.6049 |
| Label 47  |     0.6538 |     0.5769 |     0.6154 |     0.5769 |     0.6154 |     0.5769 |  0.6026 |
| Label 48  |     0.6000 |     0.5000 |     0.4500 |     0.5000 |     0.5500 |     0.6000 |  0.5333 |
| Label 49  |     0.6296 |     0.7037 |     0.6296 |     0.7037 |     0.6296 |     0.6667 |  0.6605 |
| Label 50  |     0.6429 |     0.7143 |     0.7143 |     0.7143 |     0.6964 |     0.7143 |  0.6994 |
| Label 51  |     0.5667 |     0.5667 |     0.5667 |     0.5333 |     0.5333 |     0.5667 |  0.5556 |
| Label 52  |     0.7419 |     0.8065 |     0.7742 |     0.8065 |     0.8065 |     0.7419 |  0.7796 |
| Label 53  |     0.6400 |     0.6400 |     0.6000 |     0.7200 |     0.7200 |     0.7200 |  0.6733 |
| Label 54  |     0.6923 |     0.6538 |     0.7308 |     0.6923 |     0.6923 |     0.6538 |  0.6859 |
| Label 55  |     0.6562 |     0.5312 |     0.5000 |     0.4688 |     0.5312 |     0.5625 |  0.5417 |
| Label 56  |     0.7778 |     0.7407 |     0.7037 |     0.7407 |     0.7037 |     0.7778 |  0.7407 |
| Label 57  |     0.6000 |     0.6333 |     0.6000 |     0.6333 |     0.6333 |     0.6667 |  0.6278 |
| Label 58  |     0.7037 |     0.4444 |     0.5185 |     0.3333 |     0.7778 |     0.5185 |  0.5494 |
| Label 59  |     0.7576 |     0.7576 |     0.7879 |     0.8182 |     0.6667 |     0.6667 |  0.7424 |
| Label 60  |     0.4500 |     0.4000 |     0.4500 |     0.3000 |     0.3000 |     0.5500 |  0.4083 |
| Label 61  |     0.7273 |     0.7727 |     0.6818 |     0.6364 |     0.6818 |     0.7273 |  0.7045 |
| Label 62  |     0.6364 |     0.5455 |     0.5000 |     0.4545 |     0.4545 |     0.4545 |  0.5076 |
| Label 63  |     0.6190 |     0.6667 |     0.6667 |     0.6667 |     0.6190 |     0.4286 |  0.6111 |
| Label 64  |     0.5625 |     0.5625 |     0.5625 |     0.5625 |     0.5938 |     0.5312 |  0.5625 |
| Label 65  |     0.5600 |     0.4800 |     0.4400 |     0.4400 |     0.4800 |     0.4400 |  0.4733 |
| Label 66  |     0.7500 |     0.8125 |     0.8750 |     0.8750 |     0.6250 |     0.8125 |  0.7917 |
| Label 67  |     0.8182 |     0.7273 |     0.8636 |     0.6818 |     0.7727 |     0.8636 |  0.7879 |
| Label 68  |     0.6818 |     0.5909 |     0.6818 |     0.6364 |     0.5909 |     0.6818 |  0.6439 |
| Label 69  |     0.7692 |     0.6923 |     0.7308 |     0.7692 |     0.7308 |     0.7308 |  0.7372 |
| Label 70  |     0.5714 |     0.4286 |     0.5000 |     0.5357 |     0.5357 |     0.5000 |  0.5119 |
| Label 71  |     0.6452 |     0.6129 |     0.6129 |     0.6452 |     0.6452 |     0.6129 |  0.6290 |
| Label 72  |     0.6889 |     0.6667 |     0.6667 |     0.6222 |     0.6667 |     0.6444 |  0.6593 |
| Label 73  |     0.6750 |     0.7000 |     0.6750 |     0.7250 |     0.7250 |     0.6750 |  0.6958 |
| Label 74  |     0.6571 |     0.6571 |     0.6000 |     0.6571 |     0.6286 |     0.6857 |  0.6476 |
| Label 75  |     0.5278 |     0.6111 |     0.5833 |     0.5833 |     0.6111 |     0.6667 |  0.5972 |
| Label 76  |     0.5636 |     0.7091 |     0.7091 |     0.6909 |     0.6909 |     0.7091 |  0.6788 |
| Label 77  |     0.6410 |     0.5897 |     0.5897 |     0.5897 |     0.5897 |     0.5897 |  0.5983 |
| Label 78  |     0.8125 |     0.8125 |     0.7500 |     0.8125 |     0.7500 |     0.7500 |  0.7812 |
| Label 79  |     0.5455 |     0.4848 |     0.4848 |     0.6061 |     0.6061 |     0.6364 |  0.5606 |
| Label 80  |     0.6047 |     0.6279 |     0.6047 |     0.6279 |     0.6279 |     0.6279 |  0.6202 |
| Label 81  |     0.6667 |     0.6000 |     0.5667 |     0.5333 |     0.6000 |     0.5333 |  0.5833 |
| Label 82  |     0.6216 |     0.6486 |     0.6216 |     0.6216 |     0.6216 |     0.6486 |  0.6306 |
| Label 83  |     0.6923 |     0.7692 |     0.7692 |     0.7692 |     0.8462 |     0.6154 |  0.7436 |
| Label 84  |     1.0000 |     0.8000 |     0.8800 |     0.9200 |     0.9200 |     0.8000 |  0.8867 |
| Label 85  |     0.6818 |     0.4545 |     0.5455 |     0.5909 |     0.7273 |     0.5000 |  0.5833 |
| Label 86  |     0.7200 |     0.8000 |     0.8000 |     0.6400 |     0.6800 |     0.5600 |  0.7000 |
| Label 87  |     0.6591 |     0.5909 |     0.5909 |     0.5909 |     0.6364 |     0.6364 |  0.6174 |
| Label 88  |     0.7021 |     0.6596 |     0.7021 |     0.7447 |     0.7021 |     0.7234 |  0.7057 |
| Label 89  |     0.8000 |     0.8800 |     0.8000 |     0.8400 |     0.7600 |     0.6800 |  0.7933 |
| Label 90  |     0.6786 |     0.7143 |     0.7143 |     0.6786 |     0.6786 |     0.6071 |  0.6786 |
| Label 91  |     0.4615 |     0.5385 |     0.5000 |     0.5769 |     0.5000 |     0.5000 |  0.5128 |
| Label 92  |     0.7895 |     0.6316 |     0.6316 |     0.7368 |     0.6842 |     0.7368 |  0.7018 |
| Label 93  |     0.5333 |     0.5778 |     0.5778 |     0.5556 |     0.5556 |     0.5778 |  0.5630 |
| Label 94  |     0.7297 |     0.6757 |     0.6757 |     0.7297 |     0.6757 |     0.7027 |  0.6982 |
| Label 95  |     0.7586 |     0.7241 |     0.6897 |     0.6897 |     0.6897 |     0.6552 |  0.7011 |
| Label 96  |     0.8077 |     0.8077 |     0.8462 |     0.8846 |     0.8846 |     0.7308 |  0.8269 |
| Label 97  |     0.6786 |     0.6071 |     0.5357 |     0.5714 |     0.7143 |     0.5000 |  0.6012 |
| Label 98  |     0.6800 |     0.5600 |     0.6400 |     0.6800 |     0.7600 |     0.6400 |  0.6600 |
| Label 99  |     0.6500 |     0.7000 |     0.6500 |     0.6500 |     0.7000 |     0.6500 |  0.6667 |
| Label 100 |     0.9091 |     0.7727 |     0.7727 |     0.8182 |     0.8636 |     0.7273 |  0.8106 |
| Label 101 |     0.6316 |     0.8947 |     0.8421 |     0.8421 |     0.7895 |     0.8421 |  0.8070 |
| Average   |     0.6871 |     0.6617 |     0.6636 |     0.6642 |     0.6736 |     0.6520 |  0.6670 |
+-----------+------------+------------+------------+------------+------------+------------+---------+
====================================================================================================

💾 表格已保存到: /home/liuxin25/code/sepfpl/outputs/exp4-mia/oxford_flowers/mia_results_per_label.txt

====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - food-101
====================================================================================================
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label     | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
+-----------+------------+------------+------------+------------+------------+------------+---------+
| Label 0   |     0.7000 |     0.6500 |     0.6250 |     0.6250 |     0.6000 |     0.6500 |  0.6417 |
| Label 1   |     0.5500 |     0.6500 |     0.5750 |     0.5750 |     0.6000 |     0.5500 |  0.5833 |
| Label 2   |     0.5000 |     0.5250 |     0.5500 |     0.5250 |     0.5250 |     0.5000 |  0.5208 |
| Label 3   |     0.5000 |     0.4500 |     0.5000 |     0.4750 |     0.4500 |     0.4750 |  0.4750 |
| Label 4   |     0.6250 |     0.5750 |     0.5750 |     0.5750 |     0.5750 |     0.5750 |  0.5833 |
| Label 5   |     0.6250 |     0.5750 |     0.6250 |     0.6000 |     0.6000 |     0.5500 |  0.5958 |
| Label 6   |     0.4750 |     0.6000 |     0.5750 |     0.5250 |     0.4500 |     0.5250 |  0.5250 |
| Label 7   |     0.5000 |     0.4750 |     0.4500 |     0.4500 |     0.4000 |     0.4500 |  0.4542 |
| Label 8   |     0.5250 |     0.5000 |     0.4500 |     0.4500 |     0.5000 |     0.5000 |  0.4875 |
| Label 9   |     0.4750 |     0.4750 |     0.4750 |     0.4500 |     0.4500 |     0.5750 |  0.4833 |
| Label 10  |     0.6250 |     0.6250 |     0.6250 |     0.6250 |     0.6500 |     0.6000 |  0.6250 |
| Label 11  |     0.4500 |     0.5250 |     0.5250 |     0.5250 |     0.5250 |     0.5250 |  0.5125 |
| Label 12  |     0.5263 |     0.5263 |     0.5263 |     0.5263 |     0.5263 |     0.5000 |  0.5219 |
| Label 13  |     0.5750 |     0.6000 |     0.6000 |     0.6000 |     0.6000 |     0.5750 |  0.5917 |
| Label 14  |     0.4250 |     0.4250 |     0.4000 |     0.3750 |     0.4000 |     0.3750 |  0.4000 |
| Label 15  |     0.3947 |     0.3947 |     0.3947 |     0.4211 |     0.5000 |     0.5263 |  0.4386 |
| Label 16  |     0.5250 |     0.5250 |     0.5000 |     0.5250 |     0.5000 |     0.5000 |  0.5125 |
| Label 17  |     0.4250 |     0.5500 |     0.5500 |     0.5000 |     0.4750 |     0.5000 |  0.5000 |
| Label 18  |     0.4250 |     0.4500 |     0.4250 |     0.4500 |     0.4000 |     0.5000 |  0.4417 |
| Label 19  |     0.5750 |     0.5750 |     0.5750 |     0.5500 |     0.5500 |     0.6750 |  0.5833 |
| Label 20  |     0.5000 |     0.5250 |     0.4750 |     0.5500 |     0.5500 |     0.5750 |  0.5292 |
| Label 21  |     0.6000 |     0.6000 |     0.6250 |     0.5750 |     0.6000 |     0.6000 |  0.6000 |
| Label 22  |     0.5750 |     0.5750 |     0.5500 |     0.6000 |     0.6000 |     0.6000 |  0.5833 |
| Label 23  |     0.5000 |     0.4750 |     0.5000 |     0.5000 |     0.4500 |     0.5250 |  0.4917 |
| Label 24  |     0.5250 |     0.6000 |     0.6250 |     0.6250 |     0.5250 |     0.7000 |  0.6000 |
| Label 25  |     0.3250 |     0.3250 |     0.3500 |     0.3250 |     0.3750 |     0.3750 |  0.3458 |
| Label 26  |     0.5000 |     0.5000 |     0.4750 |     0.4750 |     0.4750 |     0.5000 |  0.4875 |
| Label 27  |     0.5750 |     0.5250 |     0.5500 |     0.5500 |     0.5500 |     0.5500 |  0.5500 |
| Label 28  |     0.5250 |     0.5750 |     0.5750 |     0.5500 |     0.5250 |     0.5500 |  0.5500 |
| Label 29  |     0.5250 |     0.5250 |     0.5000 |     0.5250 |     0.4750 |     0.5750 |  0.5208 |
| Label 30  |     0.4250 |     0.4500 |     0.5000 |     0.4750 |     0.5250 |     0.5500 |  0.4875 |
| Label 31  |     0.6000 |     0.6250 |     0.6250 |     0.6250 |     0.6500 |     0.7000 |  0.6375 |
| Label 32  |     0.6000 |     0.6250 |     0.6250 |     0.6500 |     0.5750 |     0.6500 |  0.6208 |
| Label 33  |     0.4250 |     0.4500 |     0.4500 |     0.4500 |     0.4250 |     0.4500 |  0.4417 |
| Label 34  |     0.4250 |     0.4250 |     0.4250 |     0.4250 |     0.3750 |     0.3750 |  0.4083 |
| Label 35  |     0.6250 |     0.5250 |     0.5500 |     0.5750 |     0.5250 |     0.5250 |  0.5542 |
| Label 36  |     0.6250 |     0.5500 |     0.5250 |     0.5500 |     0.5000 |     0.5750 |  0.5542 |
| Label 37  |     0.6000 |     0.5500 |     0.5750 |     0.5500 |     0.5750 |     0.6750 |  0.5875 |
| Label 38  |     0.5000 |     0.5250 |     0.5000 |     0.5000 |     0.4250 |     0.4500 |  0.4833 |
| Label 39  |     0.5250 |     0.5500 |     0.5750 |     0.5500 |     0.6000 |     0.6750 |  0.5792 |
| Label 40  |     0.5789 |     0.4737 |     0.5789 |     0.5526 |     0.5789 |     0.5789 |  0.5570 |
| Label 41  |     0.4250 |     0.5250 |     0.5500 |     0.4750 |     0.5000 |     0.4250 |  0.4833 |
| Label 42  |     0.4000 |     0.4000 |     0.4250 |     0.4500 |     0.3750 |     0.4000 |  0.4083 |
| Label 43  |     0.5000 |     0.4737 |     0.4737 |     0.4737 |     0.5263 |     0.4737 |  0.4868 |
| Label 44  |     0.4250 |     0.4250 |     0.4500 |     0.3750 |     0.4000 |     0.3500 |  0.4042 |
| Label 45  |     0.4750 |     0.4500 |     0.4250 |     0.4500 |     0.4500 |     0.4500 |  0.4500 |
| Label 46  |     0.5500 |     0.5500 |     0.5250 |     0.5250 |     0.5000 |     0.5750 |  0.5375 |
| Label 47  |     0.6250 |     0.5750 |     0.5500 |     0.5750 |     0.5500 |     0.5750 |  0.5750 |
| Label 48  |     0.4500 |     0.4750 |     0.4500 |     0.4500 |     0.4250 |     0.4500 |  0.4500 |
| Label 49  |     0.5263 |     0.6579 |     0.6053 |     0.6579 |     0.6053 |     0.5789 |  0.6053 |
| Label 50  |     0.5750 |     0.5250 |     0.5750 |     0.5250 |     0.5750 |     0.6250 |  0.5667 |
| Label 51  |     0.5750 |     0.6000 |     0.6000 |     0.6000 |     0.4750 |     0.3750 |  0.5375 |
| Label 52  |     0.5750 |     0.5250 |     0.5750 |     0.5500 |     0.5750 |     0.6250 |  0.5708 |
| Label 53  |     0.6250 |     0.5250 |     0.5250 |     0.5750 |     0.6000 |     0.6750 |  0.5875 |
| Label 54  |     0.4500 |     0.5000 |     0.5000 |     0.5250 |     0.5500 |     0.4000 |  0.4875 |
| Label 55  |     0.4750 |     0.4750 |     0.5250 |     0.5000 |     0.5250 |     0.5500 |  0.5083 |
| Label 56  |     0.5750 |     0.5500 |     0.5500 |     0.6000 |     0.6250 |     0.6250 |  0.5875 |
| Label 57  |     0.4737 |     0.4737 |     0.4474 |     0.4474 |     0.4211 |     0.4737 |  0.4561 |
| Label 58  |     0.5500 |     0.6500 |     0.6500 |     0.6500 |     0.6500 |     0.5750 |  0.6208 |
| Label 59  |     0.5750 |     0.5000 |     0.4750 |     0.5500 |     0.4500 |     0.4750 |  0.5042 |
| Label 60  |     0.4750 |     0.5000 |     0.5000 |     0.4750 |     0.4750 |     0.4250 |  0.4750 |
| Label 61  |     0.4750 |     0.5000 |     0.5000 |     0.5000 |     0.5000 |     0.5000 |  0.4958 |
| Label 62  |     0.5250 |     0.5250 |     0.5750 |     0.5250 |     0.5500 |     0.6000 |  0.5500 |
| Label 63  |     0.4750 |     0.4750 |     0.4750 |     0.4750 |     0.4750 |     0.4500 |  0.4708 |
| Label 64  |     0.4750 |     0.5000 |     0.4750 |     0.4750 |     0.4500 |     0.4500 |  0.4708 |
| Label 65  |     0.6500 |     0.7250 |     0.7250 |     0.7000 |     0.6750 |     0.6500 |  0.6875 |
| Label 66  |     0.4750 |     0.5250 |     0.5750 |     0.5250 |     0.5250 |     0.5000 |  0.5208 |
| Label 67  |     0.4500 |     0.5500 |     0.6000 |     0.5500 |     0.4500 |     0.6250 |  0.5375 |
| Label 68  |     0.3750 |     0.4750 |     0.4500 |     0.4750 |     0.4500 |     0.5750 |  0.4667 |
| Label 69  |     0.4500 |     0.4500 |     0.5000 |     0.5250 |     0.4750 |     0.7500 |  0.5250 |
| Label 70  |     0.5250 |     0.5000 |     0.5250 |     0.5000 |     0.5500 |     0.4500 |  0.5083 |
| Label 71  |     0.5500 |     0.6000 |     0.6000 |     0.5750 |     0.5250 |     0.5250 |  0.5625 |
| Label 72  |     0.4750 |     0.5750 |     0.5250 |     0.5750 |     0.6000 |     0.6500 |  0.5667 |
| Label 73  |     0.5526 |     0.4737 |     0.4737 |     0.4737 |     0.4737 |     0.5000 |  0.4912 |
| Label 74  |     0.5000 |     0.4750 |     0.4750 |     0.4250 |     0.3500 |     0.5250 |  0.4583 |
| Label 75  |     0.4500 |     0.3500 |     0.3500 |     0.3500 |     0.3750 |     0.5250 |  0.4000 |
| Label 76  |     0.4750 |     0.5250 |     0.5750 |     0.6000 |     0.5000 |     0.5000 |  0.5292 |
| Label 77  |     0.6750 |     0.6500 |     0.6500 |     0.6500 |     0.5500 |     0.6250 |  0.6333 |
| Label 78  |     0.4211 |     0.4474 |     0.4211 |     0.4474 |     0.4474 |     0.3947 |  0.4298 |
| Label 79  |     0.5000 |     0.5500 |     0.5500 |     0.6000 |     0.5750 |     0.5500 |  0.5542 |
| Label 80  |     0.4000 |     0.4500 |     0.4500 |     0.4500 |     0.4250 |     0.4750 |  0.4417 |
| Label 81  |     0.4595 |     0.4054 |     0.4595 |     0.4054 |     0.4324 |     0.3514 |  0.4189 |
| Label 82  |     0.6000 |     0.6500 |     0.6250 |     0.6250 |     0.6250 |     0.5750 |  0.6167 |
| Label 83  |     0.3250 |     0.3750 |     0.3500 |     0.3750 |     0.3500 |     0.4000 |  0.3625 |
| Label 84  |     0.5000 |     0.4750 |     0.4500 |     0.4500 |     0.5000 |     0.4500 |  0.4708 |
| Label 85  |     0.5000 |     0.5000 |     0.4750 |     0.5000 |     0.5000 |     0.5000 |  0.4958 |
| Label 86  |     0.4250 |     0.4250 |     0.4250 |     0.4000 |     0.4250 |     0.4250 |  0.4208 |
| Label 87  |     0.6000 |     0.5500 |     0.5250 |     0.5250 |     0.5250 |     0.5500 |  0.5458 |
| Label 88  |     0.4750 |     0.5000 |     0.4500 |     0.4000 |     0.4000 |     0.4250 |  0.4417 |
| Label 89  |     0.5946 |     0.5135 |     0.5135 |     0.5135 |     0.4865 |     0.5676 |  0.5315 |
| Label 90  |     0.5250 |     0.4500 |     0.4500 |     0.4500 |     0.5000 |     0.6250 |  0.5000 |
| Label 91  |     0.4500 |     0.5000 |     0.5000 |     0.5000 |     0.4500 |     0.5250 |  0.4875 |
| Label 92  |     0.4750 |     0.4750 |     0.4750 |     0.5000 |     0.5000 |     0.5250 |  0.4917 |
| Label 93  |     0.5000 |     0.5000 |     0.5250 |     0.5250 |     0.5000 |     0.5000 |  0.5083 |
| Label 94  |     0.4750 |     0.4500 |     0.5250 |     0.5500 |     0.5250 |     0.6250 |  0.5250 |
| Label 95  |     0.5250 |     0.5000 |     0.5250 |     0.4750 |     0.4500 |     0.4750 |  0.4917 |
| Label 96  |     0.5750 |     0.6500 |     0.6250 |     0.6500 |     0.5250 |     0.6500 |  0.6125 |
| Label 97  |     0.4750 |     0.5000 |     0.5000 |     0.5000 |     0.4750 |     0.5250 |  0.4958 |
| Label 98  |     0.5250 |     0.4250 |     0.5000 |     0.5000 |     0.5250 |     0.5750 |  0.5083 |
| Label 99  |     0.5750 |     0.5750 |     0.5750 |     0.6000 |     0.5750 |     0.6250 |  0.5875 |
| Label 100 |     0.5135 |     0.4595 |     0.4865 |     0.4595 |     0.5135 |     0.5405 |  0.4955 |
| Average   |     0.5125 |     0.5168 |     0.5196 |     0.5174 |     0.5061 |     0.5320 |  0.5174 |
+-----------+------------+------------+------------+------------+------------+------------+---------+
====================================================================================================

💾 表格已保存到: /home/liuxin25/code/sepfpl/outputs/exp4-mia/food-101/mia_results_per_label.txt

====================================================================================================
